interno_ime,smucisce,drzava,nadmorska_visina,km_prog,karta,valuta
burglift-stans,Burglift Stans,AT,560 - 800,1,n/a,n/a
bezovec,Bezovec,SK,600 - 750,3.1,"16,00",€
bublava-stribrna,Bublava - Stříbrná,CZ,610 - 802,5,n/a,n/a
selce-cachovo,Selce-Čachovo,SK,470 - 650,2.3,n/a,n/a
barmsee-kruen,Barmsee / Krün,DE,900 - 950,0.7,n/a,n/a
kaniowka,Kaniówka,PL,780 - 870,1.3,n/a,n/a
tabarz-inselberg,Inselsberg / Bad Tabarz,DE,720 - 900,2.1,"30,00",€
ski-areal-severak,Severák / Jizerky,CZ,730 - 795,4.2,n/a,n/a
altenfeld,Altenfeld,DE,650 - 710,0.3,n/a,n/a
alpin-lift-hausen-an-der-lauchert,Alpin-Lift / Hausen an der Lauchert,DE,700 - 850,1.5,n/a,n/a
cerny-dul,Černý Důl / Černá hora - Pec,CZ,580 - 885,6.5,n/a,n/a
boehmenkirch-treffelhausen,Treffelhausen / Böhmenkirch,DE,650 - 707,1,n/a,n/a
kosutka-hrinova,Košútka - Hriňová,SK,503 - 723,2.6,n/a,n/a
am-gruendelwald,am Gründelwald / Jöhstadt,DE,670 - 780,1.3,n/a,n/a
ryterski-raj,Ryterski Raj,PL,408 - 628,0,n/a,n/a
silbersattel,Skiarena Silbersattel,DE,590 - 840,4.5,"28,00",€
cesky-jiretin,Český Jiřetín,CZ,630 - 800,2.3,n/a,n/a
skilift-markt-hartmannsdorf,Hartmannsdorfer Skipiste,AT,346 - 405,0.6,"8,00",€
hartmanice,Hartmanice,CZ,710 - 850,1.6,"480,00",CZK
regensberg,Regensberg - Im Buck,CH,617 - 666,0.3,n/a,n/a
lohwaldhaeng,Lohwaldhäng / Lindberg,DE,635 - 688,0.3,"6,00",€
ski-makov,Ski Makov,SK,660 - 948,6.1,n/a,n/a
kvasejovice,Kvasejovice,CZ,496 - 555,0,n/a,n/a
waldrastlift-ehenbichl,Waldrastlift / Ehenbichl,AT,856 - 984,0.5,n/a,n/a
bodenmais-silberberg,Bodenmais - Silberberg,DE,750 - 955,2,n/a,n/a
kniebreche,An der Kniebreche / Steinbach-Hallenberg,DE,560 - 680,0.8,n/a,n/a
cicmany,Čičmany,SK,650 - 973,4.3,n/a,n/a
jakobsthal-am-englaender,Jakobsthal / Am Engländer,DE,420 - 500,3,n/a,n/a
oberer-schlossberg-sankt-georgen,Oberer Schloßberg / St. Georgen,DE,920 - 970,0.4,"19,00",€
ladek-zdroj,Stacja Narciarska Lądek Zdrój,PL,600 - 700,0,n/a,n/a
piz-bohl-strassberg,Piz Bohl / Strassberg,DE,700 - 800,0.5,"10,00",€
petrikovice,Petříkovice,CZ,435 - 575,2.7,n/a,n/a
oberhelfenschwil,Oberhelfenschwil,CH,798 - 866,0.4,n/a,n/a
mareszka,Mareszka,PL,455 - 530,0,n/a,n/a
sonnenwald,Sonnenwald,DE,810 - 965,3.2,n/a,n/a
stcorona,Familienskiland St. Corona am Wechsel,AT,840 - 920,1,"34,00",€
beskidek,Beskidek,PL,530 - 720,1.6,n/a,n/a
stozek,Stożek,PL,713 - 959,3.3,n/a,n/a
myto-jawornik,Myto Jawornik / Zwardoń,PL,667 - 800,0,n/a,n/a
schoenau-am-koenigssee-gruensteinlift,Grünsteinlift - Schönau am Königssee / Berchtesgadener Land,DE,630 - 750,0.4,n/a,n/a
klepacov,Klepáčov,CZ,740 - 850,1.3,n/a,n/a
taele-messstetten,Täle / Meßstetten,DE,860 - 930,0.6,n/a,n/a
privrat,Přívrat,CZ,450 - 510,1.4,n/a,n/a
rudno,Rudno,SI,490 - 571,0.6,"15,00",€
jastrzebia,Jastrzębia,PL,287 - 356,0,n/a,n/a
gansberg,Gansberg,CZ,590 - 630,0.4,n/a,n/a
herchenhainer-hoehe,Herchenhainer Höhe,DE,666 - 733,0.6,n/a,n/a
spa,Spa - Thier des Rexhons,BE,454 - 530,0.6,n/a,n/a
kaiserblick-sachrang,Kaiserblick Sachrang - Aschau,DE,738 - 818,3,"17,00",€
ski-centrum-nizna-uhliska,Ski Centrum Nižná Uhliská,SK,600 - 860,4.3,n/a,n/a
sankt-radegund,St. Radegund Lift,AT,762 - 800,0,n/a,n/a
oaza-ski,Oaza Ski,PL,250 - 343,0,n/a,n/a
smucisce,Ski Bor Črni vrh,SI,690 - 780,0.4,n/a,n/a
kuncice,Kunčice,CZ,650 - 850,5.3,n/a,n/a
kolej-baba,Kolej Baba,PL,750 - 920,0.9,n/a,n/a
kirchschlag,Kirchschlag,AT,750 - 900,3,"25,00",€
schiwiese-markt-piesting,Markt Piesting,AT,350 - 375,0,n/a,n/a
lierneux,Lierneux - Le Monty,BE,436 - 490,1.2,"12,00",€
mlade-buky,Mladé Buky,CZ,550 - 670,5.1,n/a,n/a
kohutka,Kohútka,CZ,715 - 913,6.6,n/a,n/a
le-frenz,Le Frenz,FR,770 - 990,0.5,"13,00",€
altenau,Torfhauslifte Altenau,DE,740 - 820,0.8,"28,00",€
neukirchen-lautertal,Neukirchen / Lautertal,DE,400 - 490,0.8,"25,00",€
riesenlehen-sankt-georgen-am-reith,Riesenlehen / St. Georgen am Reith,AT,500 - 620,0.4,"14,00",€
tanvaldsky-spicak,Tanvaldský Špičák / Jizerky,CZ,542 - 812,8.2,n/a,n/a
albstadt-lautlingen,Albstadt / Lautlingen,DE,680 - 710,1,n/a,n/a
st-andreasberg-matthias-schmidt-berg,St. Andreasberg - Matthias-Schmidt-Berg,DE,550 - 700,11,"30,00",€
na-stoku,Na Stoku,PL,620 - 716,0,n/a,n/a
zborov,Zborov,CZ,515 - 600,0,n/a,n/a
bedea-novaggio,Bedea Novaggio,CH,620 - 660,0.4,n/a,n/a
doebrastockenlift,Döbrastöckenlift /Schwarzenbach,DE,650 - 700,0.3,n/a,n/a
olesnice-v-orlickych-horach,Olešnice v Orlických horách,CZ,645 - 730,1.6,n/a,n/a
plavy,Plavy,CZ,420 - 526,0,n/a,n/a
skilift-mastrils,Skilift Mastrils,CH,720 - 940,3,n/a,n/a
aldrov-vitkovice,Aldrov - Vitkovice,CZ,600 - 733,3,n/a,n/a
duzy-rachowiec,Duży Rachowiec / Zwardón,PL,680 - 920,5.5,n/a,n/a
dubovica-zliabky,Dubovica-Žliabky,SK,430 - 778,5.3,n/a,n/a
le-poli-xonrupt-longemer,Le Poli / Xonrupt-Longemer,FR,800 - 970,1.4,"16,00",€
kladky,Kladky,CZ,515 - 605,0,n/a,n/a
lucifer,Lucifer,CZ,620 - 720,0,n/a,n/a
gwarek,Gwarek,PL,770 - 840,0,n/a,n/a
den-haag,De Uithof / Den Haag,NL,10 - 30,0.2,n/a,n/a
kokuszka,Kokuszka,PL,410 - 554,0,n/a,n/a
snow-world-bispingen,SnowWorld Bispingen,DE,90 - 125,0.3,"49,50",€
bad-lauterberg-heibek,Bad Lauterberg - Heibek,DE,300 - 360,0.6,n/a,n/a
lazensky-vrch,Lázeňský vrch,CZ,500 - 600,1.6,n/a,n/a
mrzla-dolina,Mrzla dolina,SI,330 - 345,0.3,n/a,n/a
moravka-svinorky,Morávka Sviňorky,CZ,504 - 648,0.9,n/a,n/a
lysa-gora-sopot,Łysa Góra Sopot,PL,70 - 110,0.3,n/a,n/a
nove-hamry,Nové Hamry,CZ,720 - 860,1.6,n/a,n/a
miroslav,Miroslav,CZ,635 - 866,2.9,n/a,n/a
arralifte,Arralifte / Harmanschlag,AT,734 - 857,2.1,"28,00",€
szopowe,Szopowe,PL,300 - 320,0,n/a,n/a
eschenberg-niedersfeld,Eschenberglifte / Niedersfeld,DE,580 - 725,3.8,"25,00",€
piekna-gora-goldap,Piękna Góra - Gołdap,PL,190 - 270,2,n/a,n/a
czerwienne,Czerwienne,PL,798 - 890,0,n/a,n/a
sous-le-mont,Sous le Mont,CH,850 - 920,0.4,n/a,n/a
nad-nadrazim,Nad Nádražím - Belveder,CZ,786 - 896,1.6,n/a,n/a
tesak,Tesák,CZ,580 - 750,3.2,n/a,n/a
skilift-uehlingen-birkendorf,Brenden / Ühlingen - Birkendorf,DE,815 - 900,0.5,n/a,n/a
skiarena-sulzbuerg,Skiarena Sulzbürg / Mühlhausen,DE,473 - 550,0,n/a,n/a
skilift-pfulb,Pfulb,DE,750 - 800,1.5,n/a,n/a
parchatka,Parchatka,PL,145 - 175,0.8,n/a,n/a
razula,Razula,CZ,590 - 782,1,"690,00",CZK
jalovec,Jalovec,CZ,495 - 575,0.8,n/a,n/a
holzhau,Holzhau,DE,600 - 800,3,n/a,n/a
vernirovice,Vernířovice,CZ,508 - 605,0,n/a,n/a
bournak,Bouřňák,CZ,590 - 870,6.8,n/a,n/a
halde,Halde / Westerheim,DE,775 - 825,2,n/a,n/a
chotoun,Chotouň,CZ,350 - 440,0.5,n/a,n/a
sindelna,Šindelná,CZ,650 - 800,0,n/a,n/a
amalka,Amalka,PL,167 - 195,0,n/a,n/a
medebach-hallenberg-schlossberg,Medebach - Hallenberg - Schlossberg,DE,682 - 789,1.2,"20,00",€
aalen-hirtenteich,Aalen / Hirtenteich,DE,570 - 690,4,n/a,n/a
hagenberg-sulzberg-thal,Hagenberg Sulzberg-Thal,AT,600 - 930,4.4,"25,00",€
jacnia,Jacnia,PL,265 - 320,0,n/a,n/a
vetrny-vrch,Větrný vrch,CZ,654 - 822,3,n/a,n/a
sachty,Šachty,CZ,510 - 700,5.4,n/a,n/a
ebersberg,Waldsportpark Ebersberg,DE,560 - 585,0.2,n/a,n/a
alpalouka,Alpalouka,CZ,835 - 995,0.9,n/a,n/a
laerchenhof-erpfendorf,Lärchenhof Erpfendorf,AT,710 - 860,1,n/a,n/a
grosserlach,Großerlach,DE,550 - 610,1.1,n/a,n/a
kotlje,Kotlje,SI,495 - 550,0.8,"16,00",€
hajduk-murzasichle,Hajduk - Murzasichle,PL,850 - 880,0,n/a,n/a
astenberg-wiesing,Astenberg / Wiesing - Achensee,AT,566 - 900,1,n/a,n/a
kocierz,Kocierz,PL,664 - 725,0,n/a,n/a
jossgrund-oberndorf,Jossgrund-Oberndorf,DE,320 - 350,0.5,n/a,n/a
dolni-dvur,Dolní Dvůr,CZ,610 - 760,1.1,n/a,n/a
stajkowa-ski,Stajkowa Ski,PL,426 - 512,0,n/a,n/a
schanze-schmallenberg,Schanze / Schmallenberg,DE,640 - 720,1,n/a,n/a
olpe-fahlenscheid,Olpe - Fahlenscheid,DE,500 - 600,2,"28,00",€
beratzhausen-schlossberg,Beratzhausen / Schlossberg - Haderlsdorf,DE,472 - 532,0.3,n/a,n/a
potucky,Potůčky,CZ,736 - 812,0.7,"15,00",€
skalka,Skalka,CZ,250 - 300,0,n/a,n/a
severka,Severka,CZ,950 - 660,2.8,n/a,n/a
attergau-schilift-kronberg,Kronberg / Attergau,AT,536 - 630,1,"20,00",€
altastenberg,Skikarussell Altastenberg,DE,680 - 800,8,"39,00",€
certova-hora,Čertova hora,CZ,660 - 750,0,n/a,n/a
mrakotin,Mrákotín,CZ,525 - 595,0.7,n/a,n/a
pysna,Pyšná,CZ,613 - 745,0.8,n/a,n/a
st-oswald-riedlhuette,St. Oswald - Riedlhütte,DE,790 - 880,0.3,n/a,n/a
lesko-ski,Lesko-Ski / Weremień,PL,417 - 532,1.4,n/a,n/a
opalena,Opálená,CZ,560 - 670,0,n/a,n/a
kasina,Kasina Ski&amp;Bike Park,PL,650 - 950,2.6,n/a,n/a
karpatka-panorama,Karpatka Panorama,PL,600 - 655,0.4,n/a,n/a
javornik,Javornik,SI,800 - 900,1,n/a,n/a
schmallenberg-boedefeld-hunau,Bödefeld - Hunau / Schmallenberg,DE,604 - 810,1.5,"35,00",€
laichingen,Laichingen,DE,760 - 790,0.4,n/a,n/a
kaste-petrikov,Kaste Petříkov,CZ,740 - 950,4.3,n/a,n/a
monte-voggo-voggenthal,Monte Voggo / Voggenthal,DE,520 - 570,0.4,n/a,n/a
certak-karlov,KarlovSki EXPRESS/ Ski Arena Karlov,CZ,690 - 810,8.8,n/a,n/a
fridingen-antoni,Fridingen / Antoni,DE,680 - 800,1.5,n/a,n/a
dorflift-landl,Landl,AT,500 - 520,0.2,n/a,n/a
sellinghausen-schmallenberg,Sellinghausen / Schmallenberg,DE,460 - 600,1.6,"24,50",€
sanov,Šanov,CZ,600 - 715,0,n/a,n/a
wildmooslift-oberau,Wildmoos-Lift - Oberau / Berchtesgadener Land,DE,850 - 890,0,n/a,n/a
amberglift-walchsee,Amberglift / Walchsee,AT,658 - 750,0.5,"24,50",€
celnica,Celnica,CZ,830 - 915,0,n/a,n/a
klausenlift-mehlmeisel,Klausenlift Mehlmeisel,DE,650 - 815,1,"22,00",€
rudletzholzer-hang-heideck,Rudletzholzer Hang - Heideck,DE,410 - 450,0.3,n/a,n/a
swiniorka-dolina-lesnicy,Świniorka - Dolina Leśnicy,PL,500 - 695,2.6,n/a,n/a
horn-bad-meinberg,Holzhausen - Externsteine / Horn-Bad Meinberg,DE,350 - 400,0.3,n/a,n/a
lipno,Lipno,CZ,708 - 900,13.4,"1,150",CZK
weisser-stein-eifel,Weißer Stein Eifel,DE,610 - 693,0,n/a,n/a
strelniky,Strelníky,SK,700 - 750,1.9,n/a,n/a
hluboka-u-trhove-kamenice,Hluboká u Trhové Kamenice,CZ,520 - 580,0.6,n/a,n/a
schidorf-kirchbach,Kirchbach,AT,640 - 735,0.7,"25,00",€
cerinek,Čeřínek,CZ,650 - 750,0.6,n/a,n/a
herrischried,Herrischried,DE,870 - 980,3.3,n/a,n/a
zuckerfeld,Zuckerfeld,DE,600 - 900,5,n/a,n/a
hennenstein-trochtelfingen,Hennenstein / Trochtelfingen,DE,720 - 750,0.3,n/a,n/a
spalona,Spalona Stacja Narciarska,PL,742 - 800,1,n/a,n/a
ski-raztoka,Ski Ráztoka,SK,630 - 830,1,n/a,n/a
ilgenlift-steingaden,Ilgenlift Steingaden,DE,790 - 900,0,n/a,n/a
kasperky,Kašperky,CZ,702 - 779,1.7,n/a,n/a
hochsolling,Hochsolling,DE,432 - 470,1,n/a,n/a
arlamow,Arłamów,PL,512 - 585,0,n/a,n/a
balucianka,Bałucianka,PL,480 - 530,1.3,n/a,n/a
schleching-geigelstein,Schleching - Ettenhausen,DE,630 - 650,1,n/a,n/a
kartasiowka,Kartasiówka,PL,100 - 134,0,n/a,n/a
cieniawa,Cieniawa ski,PL,442 - 540,0,n/a,n/a
zbraslav-u-brna,Zbraslav u Brna,CZ,458 - 503,0,n/a,n/a
schwannerlift,Schwannerlift Weerberg,AT,850 - 950,1,n/a,n/a
luce,Luče,SI,530 - 600,0,n/a,n/a
lodowiec-babica,Lodowiec Babica,PL,230 - 308,0,n/a,n/a
wasentegernbach,Wasentegernbach,DE,471 - 493,0.7,"5,00",€
mladkov-petrovicky,Mladkov - Petrovičky,CZ,580 - 697,1.4,n/a,n/a
parez,Pařez / Rokytnice nad Jizerou,CZ,630 - 690,0.6,n/a,n/a
hrabesice,Hraběšice,CZ,530 - 696,2.4,n/a,n/a
hauzenberg-geiersberg,Hauzenberg - Geiersberg,DE,800 - 840,0.8,n/a,n/a
annaberg-andelska-hora,Annaberg Andělská Hora,CZ,700 - 861,1.5,n/a,n/a
kreherwiese-poehlberg,Kreherwiese / Pöhlberg,DE,679 - 815,0.5,n/a,n/a
st-veit-im-pongau-astenlift,St. Veit im Pongau / Astenlift,AT,763 - 820,0.5,n/a,n/a
sandberg-bopfingen,Sandberg / Bopfingen,DE,540 - 610,1.1,n/a,n/a
augustusburg,Augustusburg,DE,350 - 500,2,n/a,n/a
kocourov,Kocourov,CZ,485 - 575,1,n/a,n/a
telnice,Telnice,CZ,600 - 796,7.4,"800,00",CZK
tylicz,Tylicz,PL,590 - 740,6,n/a,n/a
pozdechov,Pozděchov,CZ,570 - 650,0.8,n/a,n/a
svoboda-nad-upou,Svoboda nad Úpou / Černá hora - Pec,CZ,570 - 644,1,n/a,n/a
dluga-polana,Długa Polana,PL,690 - 780,0,n/a,n/a
skalite-serafinov,Skalité - Serafínov,SK,620 - 780,2,n/a,n/a
voithenberg-gibacht,Voithenberg Gibacht,DE,400 - 900,5,n/a,n/a
bureiberg-altreichenau,Bureiberg / Altreichenau,DE,700 - 800,0.4,n/a,n/a
natraj,Natraj / Chrzanów,PL,280 - 310,2.4,n/a,n/a
rychlov-u-knezic,Rychlov u Kněžic,CZ,528 - 580,0.4,n/a,n/a
kirchdorf-in-tirol,Kirchdorf in Tirol / Kitzbüheler Alpen,AT,640 - 720,1,"24,50",€
cisowa,Cisowa,PL,330 - 420,1.3,n/a,n/a
wengen,Wengen / Weitnau,DE,800 - 900,1.5,"13,00",€
bobliwo,Bobliwo,PL,207 - 258,0.9,n/a,n/a
alte-reite-rosshaupten,Alte Reite - Roßhaupten,DE,815 - 885,4,"10,00",€
zoetermeer,SnowWorld Zoetermeer,NL,12 - 50,0.7,"53,50",€
schwarzenberg-elstra,Schwarzenberg / Elstra,DE,300 - 416,1.8,n/a,n/a
brenna-wegierski,Brenna Węgierski,PL,575 - 915,4.3,n/a,n/a
mossautal-guettersbach,Mossautal - Güttersbach,DE,355 - 370,0.2,n/a,n/a
wolfsschlucht,Wolfsschlucht / Prüm,DE,482 - 557,0.7,n/a,n/a
langenbruck,Langenbruck,CH,750 - 950,3.5,n/a,n/a
terneuzen,SnowWorld Terneuzen,NL,5 - 25,0.4,"53,50",€
zliechov,Zliechov,SK,700 - 895,0,n/a,n/a
brotterode,Brotterode,DE,580 - 916,0.7,n/a,n/a
as-vrch-haj,Aš / Vrch Haj,CZ,620 - 750,1.8,n/a,n/a
moosach-tranzlberg,Moosach am Tranzlberg,DE,528 - 545,0.2,n/a,n/a
sehmatal,Sehmatal - Paulusberg/Neudorf,DE,713 - 820,1,"22,00",€
turek,Turek,CZ,500 - 688,3.3,n/a,n/a
ski-ostruzna-retezarna,Ostružná - Řetězárna,CZ,860 - 955,1.1,n/a,n/a
erlbach-kegelberg,Kegelberg - Erlbach,DE,580 - 755,2.8,"23,00",€
steig-baeretswil,Steig - Bäretswil,CH,725 - 835,1,n/a,n/a
prachen,Prácheň,CZ,500 - 575,0,n/a,n/a
seiffen,Seiffen - Reicheltberg,DE,640 - 740,1.8,n/a,n/a
winiarska,Winiarska,PL,455 - 478,0,n/a,n/a
pokljuka-zatrnik,Zatrnik,SI,900 - 950,1,"12,00",€
hohenstein,Hohenstein - Kirchensittenbach,DE,580 - 624,0.4,n/a,n/a
skiareal-homole-ponikla,Skiareál Homole Poniklá,CZ,500 - 670,3.5,n/a,n/a
skicentrum-tajov,Skicentrum Tajov,SK,540 - 640,1,n/a,n/a
svratka,Svratka,CZ,675 - 750,0.5,n/a,n/a
nowa-osada,Nowa Osada,PL,485 - 681,4,n/a,n/a
vraclavek,Vraclávek,CZ,505 - 635,0,n/a,n/a
jasenka,Jasenka,CZ,425 - 503,2.5,n/a,n/a
winterwelt-rehefeld,Winterwelt Rehefeld,DE,690 - 830,3,n/a,n/a
zwiesel-rabenstein,Zwiesel / Rabenstein,DE,600 - 650,0.4,n/a,n/a
miesenbach-wiesenhofer,Miesenbach / Wiesenhofer,AT,800 - 900,0,n/a,n/a
x-park-frantiskov,X-Park Františkov,CZ,552 - 634,0.6,n/a,n/a
mezivodi,Mezivodí,CZ,602 - 712,1.3,n/a,n/a
kubasok-spisske-bystre,Kubašok - Spišské Bystré,SK,675 - 850,1.2,n/a,n/a
brabant-la-bresse,Brabant - La Bresse,FR,837 - 990,3.4,"16,50",€
sentjost-nad-horjulom,Šentjošt nad Horjulom,SI,625 - 667,1,n/a,n/a
nocksteinlifte,Nocksteinlifte / Koppl,AT,694 - 795,1,"14,00",€
rotterhang-schellerhau,Rotterhang / Schellerhau,DE,750 - 800,0,n/a,n/a
jauerling,Jauerling / Maria Laach,AT,825 - 959,1,"24,50",€
langenau-tettau,Langenau - Tettau,DE,610 - 650,0.3,n/a,n/a
rohy,Rohy,CZ,700 - 800,0.5,n/a,n/a
hoernergruppe-fischen,Fischen,DE,761 - 980,1,"24,00",€
schlossberg-st-georgen,Schloßberg / St. Georgen,DE,900 - 970,0,"18,00",€
mayen,Skilift Mayen in Arft/Eifel,DE,580 - 630,1.5,"13,00",€
schorrberg,Schorrberg / Bad Marienberg,DE,450 - 500,1.1,"20,00",€
lakcenhaeuser-neureichenau,Lackenhäuser / Neureichenau,DE,775 - 786,0.2,n/a,n/a
u-zura,U Żura - Chabówka,PL,500 - 540,0,n/a,n/a
simmelsberg-hanau,Skizentrum Simmelsberg - Skiclub Hanau,DE,660 - 840,5,"20,00",€
ski-drienica,Drienica,SK,555 - 740,2.5,n/a,n/a
de-kempervennen,Montana Snowcenter,NL,30 - 45,0.2,"37,50",€
solisko-horni-becva,Solisko Horní Bečva,CZ,606 - 741,1.3,n/a,n/a
gora-zar,Góra Żar,PL,450 - 750,2,"119,00",PLN
westernberg-ruhpolding,Westernberg / Ruhpolding,DE,670 - 750,1,n/a,n/a
kolorowa,Kolorowa,PL,620 - 684,0,n/a,n/a
fahrenberg-vohenstrauss,Fahrenberg - Vohenstrauß,DE,660 - 800,2,n/a,n/a
oberhof,Oberhof / Fallbachlift,DE,720 - 842,1.3,"28,00",€
hermsdorf-erzgebirge,Hermsdorf / Erzgebirge,DE,660 - 805,1,n/a,n/a
salmendingen,Salmendingen,DE,858 - 889,1.3,n/a,n/a
janina,Janina,SI,248 - 362,0.4,n/a,n/a
vysoka-u-havlickova-brodu,Vysoká u Havlíčkova Brodu,CZ,494 - 587,0.6,n/a,n/a
gace,SC Gače,SI,680 - 965,8,"30,00",€
policka,Polička - Liboháj,CZ,573 - 620,0.4,n/a,n/a
greising-deggendorf,Greising - Deggendorf,DE,800 - 870,0.5,n/a,n/a
snow-valley,Snow Valley - Peer,BE,60 - 102,0.5,n/a,n/a
mukinje-plitvice,Mukinje Plitvice,HR,640 - 690,1.5,n/a,n/a
engstingen,Engstingen,DE,700 - 780,1.6,"15,00",€
witow-ski,Witów Ski,PL,830 - 980,1.1,n/a,n/a
poseka,Poseka/Ravne,SI,423 - 587,0,n/a,n/a
skipark-vysne-ruzbachy,Skipark Vyšné Ružbachy,SK,650 - 790,3.1,n/a,n/a
willingen,Willingen,DE,560 - 840,17,"40,00",€
dlouhonovice,Dlouhoňovice,CZ,442 - 478,0.7,n/a,n/a
solan,Soláň,CZ,680 - 860,1.4,n/a,n/a
skilift-winterhalde,Winterhalde / Degenfeld,DE,540 - 600,1.5,"18,00",€
hempelsberg-geiersberg,Hempelsberg - Geiersberg / Oberwarmensteinach,DE,650 - 750,2,"25,00",€
